common_roots,relevance_degree,fasttext,doc2vec
1,1,0.0803337290488283,0.0450925093566384
2,1,0.4780690338421225,0.0828234518969443
1,1,0.4812130544965458,-0.1941996852589472
1,1,0.156111408805218,0.0376847656817483
1,1,-0.0481260973029184,0.0217462347604815
2,1,0.2631277196299109,-0.0263969483535893
1,1,0.3798359188743143,-0.0293316020785869
1,1,0.0609070840459833,0.0353006054978237
0,1,-0.1149682505955717,-0.0152773863961703
0,1,0.1396482509496153,-0.0098843362129461
1,2,0.0852285458398984,0.0488135865595734
2,2,0.4536943563341877,0.1920562805750244
1,1,-0.2111050511477943,-0.0614221034971122
2,2,0.425750119604144,-0.0487592471968968
1,1,0.0870445783920291,-0.0747860544210554
0,1,0.0571484423641825,0.0543764892203594
2,1,0.3783697549426473,-0.071881733919078
1,1,-0.0279714287716778,-0.0020576121322086
0,0,0.1365459293619208,-0.0201778082982569
0,0,0.0983513662311498,0.1179407432357847
0,0,0.049814212178039,0.0748326221767011
0,0,0.005115084796985,-0.0997737732726426
0,0,-0.0249114408898234,0.0365814230254457
1,2,0.3960438289461115,-0.0875122783661139
0,0,-0.0228961118170672,-0.0162199743917675
0,1,0.063014448637502,-0.2075942893396219
1,2,0.5602796029691293,0.0001104714757978
0,2,0.2871078247949612,0.0937721025921363
1,1,0.4749240052980367,-0.1098094948684322
0,2,0.3873667098910174,-0.1333606070084955
1,1,0.4028452721252777,-0.0929726921949694
0,1,0.1619252850750338,0.1665677217074104
1,1,0.2484779891139264,0.1415887979586854
3,2,0.7894135905330313,0.0325415080661437
0,1,0.1436319051084179,-0.1966167575820868
0,1,0.1719613566423871,-0.0299317412368295
2,1,0.7475844542858322,0.106344859950112
3,1,0.6591692873764481,-0.1361595935005876
1,2,0.5135279317175571,0.0171605540554035
1,1,0.616130785132758,0.1527592716048356
1,2,0.0804235659878341,-0.1156267666641766
0,1,0.204060115927605,0.089024774519536
1,2,0.354498889018605,-0.0766239823448347
0,0,0.0644599552695544,0.072593400360251
0,0,0.2662496842022136,0.0950692623215538
2,2,0.0440139170367095,-0.0167458736575545
2,2,0.1562975665446766,0.0614222167891315
0,2,0.1107281108761391,-0.0787528044425181
0,1,0.0927769434725451,-0.0721336316558809
1,1,0.1786775778477591,0.1378940590725176
1,1,-0.0609383715119762,0.0434646034028014
0,0,0.268560063489251,-0.0521955433592276
1,1,0.2777797745703332,0.1318781926701392
1,2,0.0721661171202785,0.1525369943752216
0,1,0.1429013630770775,0.0295804880862589
1,2,0.4323914133345733,-0.0367036544470436
0,2,0.2120830716147689,-0.0194804476395788
2,2,0.7016580164136839,0.0625001937496652
1,2,0.3530139528142298,0.2516646394404399
0,1,0.1429013630770775,0.0295804880862589
0,1,0.1045037666659711,0.0420790112012603
1,1,0.3473291402919435,-0.0050475981659215
1,1,-0.013231647964974,0.0326521818812506
0,1,0.3270214766530452,0.0022791488923935
1,2,0.2527259787342816,0.0280896524455096
1,2,0.4272592132776621,0.1008501774721096
1,1,0.2594703295430849,-0.02043476994866
1,1,0.2232762297182742,0.0746889191326434
3,2,0.458807684960264,0.0006900179836178
3,2,0.4869538468180953,0.0377278502134487
4,1,0.2517075913941995,-0.0489520582057337
5,2,0.4569972223877159,0.0614873642711739
1,2,0.3221709809177457,0.0128299982287482
2,1,0.3798793819789308,0.0590569732916339
2,1,0.7196616493752139,0.1453031709327063
2,1,0.4107891565974352,-0.036800672289259
0,1,0.1034635273853063,-0.1170070039870891
3,2,0.4524709689838661,-0.0673453322605305
0,0,0.038939524256389,0.1465692766837672
0,0,0.1105432737059918,-0.0482529701465684
0,0,0.121664932535929,0.061272304683486
0,0,0.106522125267502,-0.05188326494472
1,0,0.5976184576436211,0.1130013214672684
0,1,0.2472193957830468,0.0036687370827961
0,0,0.1180209859547874,-0.1427087798649683
0,0,0.0821479703575575,-0.0354363488804337
0,2,0.2059495127047419,-0.1325218932767567
1,2,0.4657765729906062,0.0380309263664045
0,1,0.2532129983871399,-0.0319677204587644
2,1,0.2684222308524709,0.0196426361481186
0,1,-0.0597967438627398,0.1342157795495065
1,1,0.2655615038706688,-0.0189277320841739
0,0,0.1493249336385176,0.0027260604993677
1,2,0.4246095164272925,-0.0255489383374559
2,2,0.3394678804286115,0.0320374948950864
2,1,0.3711640005812042,0.1543844089335915
5,2,0.5182587598870226,-0.0250009193066323
